count,PRVS[@etichetta='Country'],label_en,label_it,label_de,label_fr,term,scope_note
70003,Italia,Italy,Italia,Italien,Italie,http://vocab.getty.edu/tgn/1000080,"Inhabited since 50,000 BCE; settled by Indo-Europeans 1850 BCE, Etruscans 1600 BCE, and Greeks 800 BCE; united by Romans 270 BCE; independent states rose after fall of Holy Roman Empire, notably Naples, Milan, Florence, Venice and papacy; reunited in the 19th century; official language is Italian, though significant minorities speak German, French, and Slovene."
19055,Stati Uniti d'America,United States,Stati Uniti,USA,États-Unis d'Amérique,http://vocab.getty.edu/tgn/7012149,"Settled 40,000 years ago by ancestors of Amerindians; diverse cultures developed; Spanish, French, British and others settled the region from 16th century, native cultures were largely destroyed. The nation expanded westward throughout the 19th century; had Civil War in 1860s; There is no official language of the United States, though English is the most widely spoken and an official language of 31 states as of 2024."
15595,Regno Unito,United Kingdom,Regno Unito,Vereinigtes Königreich,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,http://vocab.getty.edu/tgn/7008591,"Area was inhabited by ancient Celtic-speaking peoples; invaded by Rome 55 BCE, Romans withdrew 410 CE; invaded by Angles, Saxons, and Jutes, Danes and Normans; various parts have been united by England since the 11th century; was core of large empire 18th-20th century; official language is English, though Scottish Gaelic and Welsh are also spoken."
6764,Francia,France,Francia,Frankreich,France,http://vocab.getty.edu/tgn/1000070,"Area inhabited by Lower Paleolithic; Celt-speaking Gauls dominated by 5th century BCE; part of Roman Empire 125 BCE-5th century, then under Frankish influence; lost land to England 12th-16th centuries; monarchy fell in Revolution 1792; recurring expansion 16-19th centuries; official language is French, though Provençal, Breton, Flemish, Catalan, Corsican, Basque, and Germanic regional patois are also spoken."
3395,Germania,Germany,Germania,Deutschland,Allemagne,http://vocab.getty.edu/tgn/7000084,"The area of north-central Europe occupied by what is now modern Germany measures some 137,828 square miles in size. Teutons, Celts, Slavs, and Balts inhabited it by the first century BCE. Part of the area was ruled by Romans, then Carolingians. Through the centuries, it was often broken into various states based on ethnic groups including the Alemanni, Bavarians, Upper and Lower Franks, Thuringians, and Frisians. It undertook expansion during the 19th to mid-20th centuries. The official language is German, although Low German is still spoken in the rural North. The 2004 estimated population was 82,633,200."
1229,Austria,Austria,Austria,Österreich,Autriche,http://vocab.getty.edu/tgn/1000062,"Austria covers an area that had Early Paleolithic settlements and an Iron Age culture by 1000 BCE. Illyrians inhabited it, then the Celts invaded ca. 400 BCE, and the Romans invaded ca. 200 BCE. Germanic tribes arrived ca. 180 CE, and Bavarians and Avars settled here from the 6th century. The area was the Eastern Mark of Charlemagne. Hapsburg rule began in 1278 and lasted until 1918, during which time it was part of the large Austro-Hungarian Empire. After World War I Austria was reduced to the German-speaking areas of the former empire. Nazi Germany annexed it in 1938, and from 1945 to 1955 it was occupied by the Allies. Since then it has become a member of the United Nations and, in 1995, of the European Union. The official language is German. Its position at the middle of Europe makes it a center of commerce, transportation, and culture."
1204,Svizzera,Switzerland,Svizzera,Schweiz,Suisse,http://vocab.getty.edu/tgn/7011731,"Area settled in pre-Christian period; had Roman encampments 1st century; Germanic tribes invaded 3rd-6th century; ruled by Franks 9th century, Holy Roman Empire from 11th century; first confederation of cantons was established 13th century, others joined 14th-19th century; official languages are German, French and Italian, though Romansch (Rhaeto-Roman) is also a national language."
915,Città del Vaticano,Holy See,Santa Sede,Vatikanstadt,Saint-Siège,http://vocab.getty.edu/tgn/7001168,"Papal sovereign state located within Rome, Italy; was long the headquarters of the Papal States, which had varying boundaries from 3rd-20th centuries; flourished particularly during Medieval, Renaissance and Baroque periods; was occupied by Italy in 1870."
559,Paesi Bassi,Netherlands,Paesi Bassi,Niederlande,Pays-Bas,http://vocab.getty.edu/tgn/7016845,Area was inhabited by Celtic and Germanic tribes; Romans invaded 1st century BCE; Germanic tribes invaded 5th century; ruled by Frankish Merovingians and Charlemagne; part of medieval Lotharingia; province of Spanish Hapsburgs; colonized extensively in the 17th century; official language is Dutch.
509,Spagna,Spain,Spagna,Spanien,Espagne,http://vocab.getty.edu/tgn/1000095,"Area inhabited by Neanderthals 20,000 BCE, Homo Sapiens 13,000 BCE; growth of Almería culture 3000 BCE, El Argar 2000 BCE, and Tartessus 1000 BCE; colonized by Phoenicians, Greeks, Romans, and Visigoths; Muslim conquest in the 8th century; global expansion 15th-19th centurries; official language is Spanish, though Catalan, Galician, and Basque are also spoken."
377,Ungheria,Hungary,Ungheria,Ungarn,Hongrie,http://vocab.getty.edu/tgn/7006278,"Agriculture developed by 4th millennium BCE; part of Roman Pannonia and Dacia, inhabited by Illyrians and Celts; held by Avars 7th-9th century, then Charlemagne; Finno-Ugrian Magyars invaded, defeated by Otto I 955; held by Mongols and Turks; Austria-Hungary formed 1867; official language is Magyar (Hungarian), though German, Slovak, Romanian and other languages are also spoken. As of 2014, Hungary is divided into 19 counties, 23 ""urban counties"" which are also primary subdivisions, and 1 ""special city"" (Budapest). "
337,Irlanda,Ireland,Irlanda,Irland,Irlande,http://vocab.getty.edu/tgn/1000078,"The independent sovereign nation of the Republic of Ireland shares the name and history with the island of Ireland. It was ruled by the warring tribal kings of Leinster, Connaught, Munster, Meath and Ulster (much of Ulster is now in Northern Ireland). It was then ruled by England from the 12th century. Many insurrections finally allowed it to gain increasing independence from the United Kingdom over the 16th-20th centuries until full independant nationhood on April 18, 1949. The official languages are Irish Gaelic and English. It is some 70272.78 square kilometers in area, and the 2003 estimated population was 3,968,100."
267,Slovenia,Slovenia,Slovenia,Slowenien,Slovénie,http://vocab.getty.edu/tgn/7006670,"Settled by Slovenes in the 6th century CE, the region was ruled by Franks and Bavarians. It was held by Austria from 1335 through the 19th century, except for a short period under Napoleon's Illyrian Provinces (1809-1813). Slovenia became part of the former Yugoslavia from 1918, and became fully independent in 1991. The official language is Slovene."
226,Belgio,Belgium,Belgio,Belgien,Belgique,http://vocab.getty.edu/tgn/1000063,"The modern kingdom of Belgium lies at the  crossroads of northeastern Europe, bounded on the northwest by the North Sea, on the north and northeast by The Netherlands, on the east by Germany, on the southeast by Luxembourg, and on the southwest and west by France. The area has historically been held by Celtic Belgae and Germanic tribes, Romans, Frankish-Merovingians, Carolingians, then various feudal states. Many independent cities evolved there in medieval times. Burgundy ruled it in the 14th century, then the Hapsburgs from 1482. Since 1831 it has been a representative, and constitutional monarchy. Densely populated and heavily urbanized, it has a rich mix of cultures. The official languages are Dutch (or Flemish), mainly spoken in the north, French, mainly spoken in the south, and German. "
223,Russia,Russia,Russia,Russland,Fédération de Russie,http://vocab.getty.edu/tgn/7002435,"Area was inhabited by many early cultures including Scythians (7th century BCE), Sarmatians, Goths (3rd century CE), Huns, Avars, Khazars, Bulgars, and Slavs; Varangians (Scandinavians) created Russian state in the 9th century; was core of large empire and Soviet Union (1922); official language is Russian."
213,Svezia,Sweden,Svezia,Schweden,Suède,http://vocab.getty.edu/tgn/1000097,"European hunters arrived here 12,000 BCE; settled by Svear, Lapps, Herules, Danes, and Goths first millenium BCE; controlled eastern trade route to Byzantium and Baghdad during Viking Era, colonized Russia; united with Denmark and Norway 14th-16th centuries, with Norway 19th century; official language is Swedish, though Finnish is also spoken."
209,Polonia,Poland,Polonia,Polen,Pologne,http://vocab.getty.edu/tgn/7006366,"Poland is a republic of northeastern Europe, bordered on the east by Russia, Lithuania, Belarus, and Ukraine, on the west by Germany, on the south by the Czech Republic and Slovakia, and on the north by the Baltic Sea. However, its boundaries have changed many times over the centuries. It was settled by Slavic tribes in the 2nd millennium BCE, and over time saw incursions by Ostrogoths, Slavs, Huns and Avars. Many small states formed in the 9th century, until a united in kingdom emerged in 1025. It was part of the Polish-Lithuanian empire in the 15 and 16th centuries. It was subsequently invaded in turn by Tartars, Ottomans and Russians. Its territory shrank as it was overrun and partitioned by various European powers between the 18th and 20th centuries. Following World War II, it was dominated by the USSR and had a Communist government, which collapsed in 1989, to be followed by a Western-style democracy. The official language is Polish."
180,"Ceca, Rep.",Czech Republic,Cechia,Tschechische Republik,République tchèque,http://vocab.getty.edu/tgn/1001780,"The Czech Republic lies in central Europe, occupying the traditional lands of Moravia and Bohemia, plus a southwestern piece of Silesia. It is bounded by Poland to the north, Germany to the west, Slovakia to the east, and Austria to the south. Since at least 4000 BCE it has been settled and farmed. The Celtic Boii, or Bohemian, inhabitants were supplanted by Slavs and Germanic tribes. Slavic Czechs were dominant by the 9th century. The area was part of the Přemysl kingdom from 895 to 1306. It was ruled by the Hapsburgs from 1526. It was integrated into Czechoslovakia after WW I. From 1948 to 1989, a Communist government was in control. The modern republic was created as of January 1, 1993. Major industries include electronics, engineering, food processing, and iron and steel manufacturing. The main language is Czech, though Slovak, Polish, and German are also spoken. The capital city is Prague. It measures some 30,450 square miles in area, and it 2003 estimated population was 10, 290,000."
172,Malta,Malta,Malta,Malta,Malte,http://vocab.getty.edu/tgn/7005729,"Comprises 3 islands in strategic location in Mediterranean; inhabited since 3800 BCE; ruled by Carthaginians (8th century BCE), Rome (until 395), Constantinople, Arabs (870) and Normans (1091); ceded to Hospitalers (Knights of St. John) in 1530; British by 1802; official languages are Maltese (a Semitic language of the Southern Central group) and English."
