count,PRVS[@etichetta='Country'],PRVR[@etichetta='Region / Federal State'],label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,number_of_results
16474,Italia,Lazio,Lazio,Latium,Lazio,Latium,Latium,regions,Region of Italy comprising a hilly area with a narrow coastal plain in central Italy. Modern adminisrative region includes a part of the territory of ancient Latium.,administrative region of Italy,http://vocab.getty.edu/tgn/7003080,http://www.wikidata.org/entity/Q1282,1
16336,Italia,Toscana,Toscana,Tuscany,Toscana,Toskana,Toscane,regions,"Area was core of ancient Etruria; conquered by Romans 4th century BCE; ruled by Lombards, then Franks; most cities became independent communes 11th-12th centuries; saw great strife between Guelphs and Ghibellines; part of grand duchy of Florence from the 16th century.",region in central Italy,http://vocab.getty.edu/tgn/7009760,http://www.wikidata.org/entity/Q1273,1
9864,Italia,Lombardia,Lombardia,Lombardy,Lombardia,Lombardei,Lombardie,regions,"Inhabited by Gallic people; part of Roman Cisalpine Gaul from 3rd century BCE; core of Germanic Lombard kingdom from 569; ruled by Charlemagne from 774, by bishops of Milan from the 11th century, by Visconti family and Sforza dukes 14th-15th centuries, then by Hapsburgs.",administrative region in Northern Italy,http://vocab.getty.edu/tgn/7003237,http://www.wikidata.org/entity/Q1210,1
9801,Stati Uniti d'America,New York,New York,New York,Stato di New York,New York,État de New York,states,Occupied by Algonquians (Mohican & Munsee) and Iroquois (Five Nations) when Europeans settled here in 17th cen.; French and Algonquians warred with English & Iroquois in 18th cen.; state was divided during Revolution; supported Union in Civil War.,state of the United States of America,http://vocab.getty.edu/tgn/7007568,http://www.wikidata.org/entity/Q1384,1
6315,Italia,Emilia Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,,Émilie-Romagne,regions,"Rich agricultural area bordering Adriatic Sea; Emilia and Romagna fell to Lombards 5th century CE; Emilia went to Franks 8th century, duchy of Modena by 17th century, then to Parma and Piacenza; Romagna was ruled by Byzantines 6th century, and by Pope from 16th century.",region in Italy,http://vocab.getty.edu/tgn/7008516,http://www.wikidata.org/entity/Q1263,1
6000,Italia,Veneto,Veneto,Venetan,Veneto,,,regions,Settled by ancient Celtic people (Veneti) in 1st mill. BCE; ruled by Rome from 2nd cen. BCE; invaded by Huns in mid-5th cen. CE; area gained financial and military prominence in 15th cen.; was passed between France and Austria during 18th-19th cen.,region in Italy,http://vocab.getty.edu/tgn/7002997,http://www.wikidata.org/entity/Q1243,1
4017,Italia,Umbria,Umbria,Umbria,Umbria,Umbrien,Ombrie,regions,"Was home of ancient Umbri tribes, who spoke an Indo-European dialect and were concentrated here to escape Etruscan and Gallic pressure during 1st mill. BCE; later held by Romans, Lombards and Byzantines; city-states developed; went to Papal States in the 16th century.",region of Italy,http://vocab.getty.edu/tgn/7003125,http://www.wikidata.org/entity/Q1280,1
3787,Francia,Île-de-France,Île-de-France,Île-de-France Region,,Ile de France,Île-de-France,regions,"Area was political center of old France, and has been hub of France ever since; most densely populated region of France; in addition to large uban area around Paris, is noted for fertile fields in outlying areas; see historical region, Île-de-France.",administrative region of France,http://vocab.getty.edu/tgn/7002883,http://www.wikidata.org/entity/Q13917,1
2316,Italia,Marche,Marche,Marches,Marche,Marken,Marches,regions,"Inhabited early by Umbri and Picentes people; colonized by Greeks, later by Romans (3rd century BCE); invaded by Goths 5th century CE; portions ruled by Byzantines and Lombards; ruled by Pope in 8th century and again from the 13th century.",region in Italy,http://vocab.getty.edu/tgn/7003240,http://www.wikidata.org/entity/Q1279,1
2068,Italia,Campania,Campania,Campania,Campania,Kampanien,Campanie,regions,"Administrative region of Italy. Productive agricultural area from ancient times; settled by Etruscans; taken by Samnites 5th century BCE, supported Greek colonies along coast; was Roman from 4th century BCE; later ruled by Goths, Byzantines, Lombards, and Normans; part of Two Sicilies from 1282.",region in Southern Italy,http://vocab.getty.edu/tgn/7003005,http://www.wikidata.org/entity/Q1438,1
1747,Italia,Piemonte,Piemonte,Piedmont,Piemonte,Piemont,Piémont,regions,Part of the Roman Empire from 1st cen. BCE; established as a political unit by 10th cen.; went to Savoy in 1045; supported feudal states in 12th cen.; was nominal fief of Holy Roman Empire through Middle Ages; held by house of Savoy into 19th cen.,region in North-West Italy,http://vocab.getty.edu/tgn/7003120,http://www.wikidata.org/entity/Q1216,1
1502,Italia,Liguria,Liguria,Liguria,Liguria,Ligurien,Ligurie,regions,"Fertile coastal strip (Italian Riviera) and inland mountains; home to prehistoric Ligurii people, who inhabited Mediterranean coast from Rhône to Arno rivers; visited by Phoenicians & Greeks; taken by Rome 2nd cen. BCE; ruled by Genoa from 13th cen.",Italian region,http://vocab.getty.edu/tgn/7003236,http://www.wikidata.org/entity/Q1256,1
1421,Stati Uniti d'America,District of Columbia,District of Columbia,District of Columbia,,"Washington, D.C.",District de Columbia,national districts,"Federal district coextensive with city of Washington; US was first nation to plan a capital exclusively for seat of government; originally was a 10-mile square in Maryland & Virginia, on both banks of Potomac river; Virginia reclaimed its land in 1846.","federal district of the United States of America, containing the capital city of the United States, Washington",http://vocab.getty.edu/tgn/7015717,http://www.wikidata.org/entity/Q3551781,1
934,Stati Uniti d'America,Pennsylvania,Pennsylvania,Pennsylvania,,,Pennsylvanie,states,"Occupied mainly by Algonquian, with Iroquoian-speakers in E, when English, Dutch and Swedes settled here 17th cen.; haven for religious dissenters founded by W Penn in 1682; suffered battles in French and Indian wars; was strongly pro-Revolution and pro-Union.",state of the United States of America,http://vocab.getty.edu/tgn/7007710,http://www.wikidata.org/entity/Q1400,1
863,Stati Uniti d'America,Massachusetts,Massachusetts,Massachusetts,,,Massachusetts,states,Settled by Amerindians by 2nd mill. BCE; Norsemen may have landed here in 1003; Europeans fished here in 16th cen.; Plymouth Colony established by English in 1620; played key role in Revolution; was intellectual center of nation until mid-19th cen.,state of the United States of America,http://vocab.getty.edu/tgn/7007517,http://www.wikidata.org/entity/Q771,1
658,Italia,Abruzzi,Abruzzi,Abruzzo,Abruzzi,Abruzzen,Abruzzes,regions,"Region in central Italy, the most mountainous in the Italian Apennines; populated since Paleolithic times; Roman from 304 BCE; part of Lombard duchy of Spoleto 6th-11th centuries CE; part of kingdom of Naples 1266-1860.",region in Italy,http://vocab.getty.edu/tgn/7009084,http://www.wikidata.org/entity/Q1284,1
636,Stati Uniti d'America,California,California,California,,Kalifornien,Californie,states,"Inhabited by many ethnic nationalities including Mojave, Yuma and Chumash when Spanish arrived in 16th cen.; Franciscans established missions all along coast; went to Mexico in 1820s; went to US in 1848; great influx of settlers from E arrived in gold rush.",state of the United States of America,http://vocab.getty.edu/tgn/7007157,http://www.wikidata.org/entity/Q99,1
629,Stati Uniti d'America,Maryland,Maryland,Maryland,Maryland,Maryland,Maryland,states,"Occupied by roving hunters by ca. 8000 BC, later was home to agrarian cultures; Algonquian-speakers, at war with Iroquois to N, lived here when Europeans settled in 17th cen.; fought in Revolution; state had split loyalties in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007516,http://www.wikidata.org/entity/Q1391,1
569,Italia,Sicilia,Sicilia,Sicily,Sicilia,Sizilien,Sicile,regions,"The region comprises the large island of the same name and several nearby smaller islands. Sicily became a major center of revolutionary movements in the 19th century: as a result of Giuseppe Garibaldi's revolt, it was liberated from the Bourbons in 1860 and in the following year it was incorporated into the united kingdom of Italy. Sicily gained regional autonomy in 1947.",Italian region,http://vocab.getty.edu/tgn/7003122,http://www.wikidata.org/entity/Q1460,1
