count,PRVS[@etichetta='Country'],PRVR[@etichetta='Region / Federal State']
16474,Italia,Lazio
16336,Italia,Toscana
9864,Italia,Lombardia
9801,Stati Uniti d'America,New York
6315,Italia,Emilia Romagna
6000,Italia,Veneto
4017,Italia,Umbria
3787,Francia,ÃŽle-de-France
2316,Italia,Marche
2068,Italia,Campania
1747,Italia,Piemonte
1502,Italia,Liguria
1421,Stati Uniti d'America,District of Columbia
934,Stati Uniti d'America,Pennsylvania
863,Stati Uniti d'America,Massachusetts
658,Italia,Abruzzi
636,Stati Uniti d'America,California
629,Stati Uniti d'America,Maryland
569,Italia,Sicilia